model,distr,n,p,df,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,test_loss,test_MAE_q0.995,test_MAE_q0.999,test_MAE_q0.9995,test_MSE_q0.995,test_MSE_q0.999,test_MSE_q0.9995,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,5h_3h_3h,tanh,0,TRUE,0,0,1.3243579864502,1.41318768262863,1.39196333289146,0.809140157644841,2.05948685381759,2.94137325175389,1.0205802929267,6.73158941427538,13.9683742251242,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,0,0,1.32295617461205,1.41512417793274,1.40348035097122,0.87078420090018,2.5793320171489,3.82068976780878,1.27249797645404,11.3807075315795,25.2414318495005,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,0,0,1.32201954722404,1.41640573740005,1.39056038856506,0.818519742918824,2.23555243005466,3.29462194500432,1.06697146594395,8.98879385160956,20.3360176678181,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,0,0,1.31902396678925,1.41930097341537,1.39313948154449,0.875725415216059,2.38952403606925,3.50612971312237,1.24506287311285,9.60697210100413,21.0778681867994,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,0,0,1.32647934556007,1.41377180814743,1.39702275395393,0.95700855245427,2.5203205807487,3.6172278135364,1.36264356931666,9.68471675137036,20.5198308346721,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,64h_64h_64h,tanh,0,TRUE,0,0,1.30910396575928,1.44650137424469,NaN,0.927999391287225,2.53608791791319,3.68859332222887,1.33725883814299,10.2893154290959,22.0895223846784,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,128h_128h_128h,tanh,0,TRUE,0,0,1.30687490105629,NaN,NaN,1.01184696483615,2.7949220888117,4.05624729038877,1.65860272045054,13.1011932287837,28.1154041374455,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,32h_32h_32h_32h,tanh,0,TRUE,0,0,1.31191545724869,1.43646305799484,1.40028941631317,0.888444224681372,2.38641157161018,3.47162363028248,1.24509581991241,9.4053396235975,20.2419197159098,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,256h_256h_256h_256h,tanh,0,TRUE,0,0,1.29974874854088,NaN,NaN,1.03015989116818,2.86039784012068,4.14834751439701,1.69940207036533,13.4723589992151,28.8449472421154,0.001,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,5h_3h_3h,tanh,0,TRUE,0,0,1.32838904857635,1.41099858283997,1.39440914988518,0.820655281807044,2.09489617404419,2.98832093783279,0.989455071860797,6.4919161472823,13.5132652316436,1e-04,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h,tanh,0,TRUE,0,0,1.32118597626686,1.41333776712418,1.39507427811623,0.76871206174566,2.09850092145641,3.07902140775664,0.937936292503317,7.30159476204724,16.2072564860476,1e-04,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_5h_5h,tanh,0,TRUE,0,0,1.32584929466248,1.41304492950439,1.39138972759247,0.877997044898038,2.36258582738724,3.45876880003321,1.34531668158364,10.3998546924521,22.8434815207726,1e-04,1000,0.4,5,1e-05,20,TRUE
binorm_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,0,0,1.32361111044884,1.41181176900864,1.39141115546227,0.823295353547672,2.20843580151265,3.22423520528799,1.09396311251622,8.30323899872487,18.170925374737,1e-04,1000,0.4,5,1e-05,20,TRUE
