
================================ SCRIPT 4 ================================


Elapsed time (GRF fit):
Time difference of 3.347275 secs
======== Start:  sc64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.082144, validation loss: 2.129073 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.85342, validation loss: 1.935599 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.830466, validation loss: 1.918082 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.817782, validation loss: 1.912657 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.807256, validation loss: 1.910826 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.801795, validation loss: 1.910544 , lr= 4e-05
Epoch: 600 out of 1000 , average train loss: 1.800001, validation loss: 1.910557 , lr= 1.6e-05
Epoch: 700 out of 1000 , average train loss: 1.798458, validation loss: 1.910489 , lr= 1.6e-05
Epoch: 800 out of 1000 , average train loss: 1.796903, validation loss: 1.91037 , lr= 1.6e-05
Epoch: 900 out of 1000 , average train loss: 1.79538, validation loss: 1.910337 , lr= 6.4e-06
Epoch: 1000 out of 1000 , average train loss: 1.794755, validation loss: 1.910313 , lr= 6.4e-06
Epoch: 1 out of 1000 , average train loss: 2.568955, validation loss: 2.427819 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.857284, validation loss: 1.929807 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.828004, validation loss: 1.914138 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.811999, validation loss: 1.912244 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.802593, validation loss: 1.911834 , lr= 1.6e-05
Epoch: 500 out of 1000 , average train loss: 1.800583, validation loss: 1.91184 , lr= 1.6e-05
Epoch: 600 out of 1000 , average train loss: 1.798829, validation loss: 1.911931 , lr= 6.4e-06
Epoch: 700 out of 1000 , average train loss: 1.798448, validation loss: 1.911958 , lr= 2.56e-06
Epoch: 800 out of 1000 , average train loss: 1.798232, validation loss: 1.911977 , lr= 4.096e-07
Early tolerence stopping at epoch: 807 , average train loss: 1.798229, validation loss: 1.911979, lr= 4.096e-07 
Epoch: 1 out of 1000 , average train loss: 2.416194, validation loss: 2.422839 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.870395, validation loss: 1.952777 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.839303, validation loss: 1.932675 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.824148, validation loss: 1.928744 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.812869, validation loss: 1.928096 , lr= 4e-05
Epoch: 500 out of 1000 , average train loss: 1.810752, validation loss: 1.928154 , lr= 1.6e-05
Epoch: 600 out of 1000 , average train loss: 1.809377, validation loss: 1.928196 , lr= 6.4e-06
Epoch: 700 out of 1000 , average train loss: 1.808651, validation loss: 1.928243 , lr= 2.56e-06
Epoch: 800 out of 1000 , average train loss: 1.808346, validation loss: 1.928261 , lr= 2.56e-06
Epoch: 900 out of 1000 , average train loss: 1.808118, validation loss: 1.928277 , lr= 1.024e-06
Epoch: 1000 out of 1000 , average train loss: 1.807996, validation loss: 1.928287 , lr= 1.024e-06
==== End:  sc64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.260166, validation loss: 2.285584 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.843955, validation loss: 1.929483 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.812285, validation loss: 1.91491 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.791883, validation loss: 1.911968 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.774073, validation loss: 1.911703 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.756548, validation loss: 1.913211 , lr= 1e-04
Epoch: 600 out of 1000 , average train loss: 1.752366, validation loss: 1.914083 , lr= 1.024e-06
Epoch: 700 out of 1000 , average train loss: 1.752186, validation loss: 1.914111 , lr= 1.024e-06
Epoch: 800 out of 1000 , average train loss: 1.752086, validation loss: 1.914126 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.752015, validation loss: 1.914144 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.751943, validation loss: 1.914162 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.333889, validation loss: 2.269569 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.862266, validation loss: 1.93966 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.83292, validation loss: 1.929344 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.814696, validation loss: 1.928259 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.803428, validation loss: 1.928261 , lr= 1.6e-05
Epoch: 500 out of 1000 , average train loss: 1.801069, validation loss: 1.928482 , lr= 1.6e-05
Epoch: 600 out of 1000 , average train loss: 1.800005, validation loss: 1.928541 , lr= 2.56e-06
Epoch: 700 out of 1000 , average train loss: 1.799806, validation loss: 1.928555 , lr= 1.024e-06
Epoch: 800 out of 1000 , average train loss: 1.799658, validation loss: 1.928566 , lr= 1.024e-06
Epoch: 900 out of 1000 , average train loss: 1.799511, validation loss: 1.928573 , lr= 1.024e-06
Early tolerence stopping at epoch: 976 , average train loss: 1.799416, validation loss: 1.928579, lr= 4.096e-07 
Epoch: 1 out of 1000 , average train loss: 2.175052, validation loss: 2.152248 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.851057, validation loss: 1.937423 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.820083, validation loss: 1.928946 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.808315, validation loss: 1.928117 , lr= 1.6e-05
Epoch: 400 out of 1000 , average train loss: 1.806362, validation loss: 1.9282 , lr= 2.56e-06
Epoch: 500 out of 1000 , average train loss: 1.805818, validation loss: 1.928233 , lr= 2.56e-06
Epoch: 600 out of 1000 , average train loss: 1.805301, validation loss: 1.92829 , lr= 2.56e-06
Epoch: 700 out of 1000 , average train loss: 1.805026, validation loss: 1.928327 , lr= 1.024e-06
Epoch: 800 out of 1000 , average train loss: 1.804938, validation loss: 1.928342 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.804871, validation loss: 1.928358 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.804797, validation loss: 1.928369 , lr= 4.096e-07
==== End:  sc64_64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.09593, validation loss: 2.131045 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.832264, validation loss: 1.94214 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.81279, validation loss: 1.942924 , lr= 1.6e-05
Epoch: 300 out of 1000 , average train loss: 1.810219, validation loss: 1.943242 , lr= 1.024e-06
Epoch: 400 out of 1000 , average train loss: 1.810009, validation loss: 1.943261 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.809864, validation loss: 1.943274 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.809719, validation loss: 1.943291 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.809574, validation loss: 1.943306 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.80943, validation loss: 1.943324 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.809286, validation loss: 1.943348 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.809141, validation loss: 1.943371 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.191142, validation loss: 2.194409 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.804637, validation loss: 1.897431 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.776233, validation loss: 1.900159 , lr= 6.4e-06
Early stopping at epoch: 251 , average train loss: 1.775386 , validation loss: 1.900397 , lr= 4.096e-07 
Epoch: 1 out of 1000 , average train loss: 2.13125, validation loss: 2.147704 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.847544, validation loss: 1.947222 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.812072, validation loss: 1.944204 , lr= 4e-05
Epoch: 300 out of 1000 , average train loss: 1.807394, validation loss: 1.944795 , lr= 6.4e-06
Epoch: 400 out of 1000 , average train loss: 1.807009, validation loss: 1.944904 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.806895, validation loss: 1.944934 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.806781, validation loss: 1.944958 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.806666, validation loss: 1.944983 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.806552, validation loss: 1.945008 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.806438, validation loss: 1.945031 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.806324, validation loss: 1.945054 , lr= 4.096e-07
