model,distr,n,p,df,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,test_loss,test_MAE_q0.995,test_MAE_q0.999,test_MAE_q0.9995,test_MSE_q0.995,test_MSE_q0.999,test_MSE_q0.9995,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh1,SSNN,0,TRUE,0,0,1.79475525021553,1.91031265258789,1.94867950677872,5.35184020370468,15.9482179448259,23.6480976321474,47.9591005853788,406.203214354851,881.368369788768,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh1,SSNN,0,TRUE,0,0,1.75194299221039,1.91416198015213,1.9447084069252,3.87620075305072,9.84206475928842,13.9456052983817,26.6725231153261,180.257106536198,368.0715450873,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh1,SSNN,0,TRUE,0,0,1.77538618445396,1.90039664506912,1.93968361616135,4.2770893575776,13.7847297084317,21.2719070835686,36.2709448289596,415.293294317947,1031.71379378924,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh5_3,SSNN,0,TRUE,0,0,1.76468634605408,1.89079385995865,1.92044794559479,2.30234598986998,5.1845820484839,7.13804032828449,9.38123481775736,50.9790778676004,100.413076608821,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh5_3,SSNN,0,TRUE,0,0,1.77215933799744,1.9009330868721,1.9314412176609,2.46964283841207,5.46629188415961,7.46759749110827,10.5713822012977,51.8880787427687,97.8551975236474,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh5_3,SSNN,0,TRUE,0,0,1.75894239544868,1.91356950998306,1.9599022269249,2.90934773345537,6.40035612944331,8.77157647820009,15.6828348686175,82.0572057908072,159.788979246757,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh5_3_3,SSNN,0,TRUE,0,0,1.76030778884888,1.88667243719101,1.92314440011978,2.49577662788916,5.68396295438346,7.81895587016932,10.5086788397297,53.8786757828551,102.18254519332,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh5_3_3,SSNN,0,TRUE,0,0,1.75963190197945,1.91567885875702,1.94389644265175,2.51932940673302,5.94307551778823,8.30528842678595,12.0621195773502,71.4052457579338,143.443821210789,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh5_3_3,SSNN,0,TRUE,0,0,1.74987187981606,1.91925001144409,1.95545661449432,2.79560755046522,6.25027791293614,8.61395533831081,13.3987220738972,72.8805580397228,144.446639625788,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh1,SSNN,0.01,TRUE,0,0,1.84605011343956,1.90570241212845,1.94526749849319,4.25034173261564,12.5746914223064,18.7015350077425,30.7374273259655,279.758798519903,629.05510863902,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh1,SSNN,0.01,TRUE,0,0,1.83906158804893,1.90958923101425,1.93900245428085,4.52281254843235,13.3033468774456,19.7365437276432,34.9114587087097,300.484721477229,664.414962658644,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh1,SSNN,0.01,TRUE,0,0,1.848931401968,1.8897647857666,1.9301925599575,4.60272420947547,15.1573157003206,23.4486188984019,39.4930142516621,466.827339037111,1165.69169869623,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh5_3,SSNN,0.01,TRUE,0,0,1.79718774557114,1.88425731658936,1.91764041781425,2.23281924117024,5.08076151636682,6.98893452909307,8.57690823103034,46.6919083456138,91.4092283866461,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh5_3,SSNN,0.01,TRUE,0,0,1.81580084562302,1.89046949148178,1.92219227552414,2.41999101085434,5.50655910381738,7.54195998076226,9.71686278554538,49.6164962249906,93.2780236311535,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh5_3,SSNN,0.01,TRUE,0,0,1.81814906001091,1.89434105157852,1.92988350987434,2.97966513237609,6.83932429357707,9.35200499658693,15.0244537690484,78.1550506043371,144.730115110579,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh5_3_3,SSNN,0.01,TRUE,0,0,1.8021459877491,1.87670391798019,1.91855409741402,2.52247090427325,5.88383420918868,8.07913217702833,10.8222506110192,58.6125150285643,109.251870072146,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh5_3_3,SSNN,0.01,TRUE,0,0,1.82732173800468,1.89758235216141,1.93083736300468,2.38783331317105,5.69596206218612,7.97158740977679,10.2618367427952,61.281726331585,123.33255078015,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh5_3_3,SSNN,0.01,TRUE,0,0,1.81740856170654,1.89971542358398,1.92817518115044,2.34685124264431,5.48081746555406,7.65278626583866,9.71390160630778,56.0103473991861,112.636739950202,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh1,SSNN,0.02,TRUE,0,0,1.85246914625168,1.90291893482208,1.9441189467907,4.35282415581486,12.8672731019451,19.1177165384835,31.9425260134664,290.090743938854,651.041681331209,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh1,SSNN,0.02,TRUE,0,0,1.8556937277317,1.90941888093948,1.93892946839333,4.72282738794757,13.9982120008804,20.810523451739,37.5476827996781,326.035948390589,723.373838581802,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh1,SSNN,0.02,TRUE,0,0,1.89021137356758,1.89093893766403,1.93252897262573,4.679248103611,15.7321166814594,24.5094334222854,38.8358350566335,479.979809046766,1216.22426047779,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh5_3,SSNN,0.02,TRUE,0,0,1.8264327943325,1.88256120681763,1.91793194413185,2.22629543336862,5.05856571190404,6.94132830388803,8.42687236103286,44.8184449334284,86.5554357845858,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh5_3,SSNN,0.02,TRUE,0,0,1.82982149720192,1.88722294569016,1.91936880350113,2.41902247848854,5.55414694881515,7.60550052449271,9.59996227740895,50.0835752364156,93.6231790990876,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh5_3,SSNN,0.02,TRUE,0,0,1.84080454707146,1.88856452703476,1.92839467525482,3.25955921811692,7.33128407680794,9.93435773906228,18.8070704231122,93.7208587139051,169.895009392586,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh5_3_3,SSNN,0.02,TRUE,0,0,1.82225853204727,1.87631732225418,1.91821852326393,2.56511587567717,6.05061881356996,8.31276571985242,11.4042491872396,63.599687233625,118.717675662776,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh5_3_3,SSNN,0.02,TRUE,0,0,1.84156253933907,1.89304858446121,1.92815229296684,2.39398806709488,5.67669388911863,7.90825993713495,9.75062315498301,56.3565826356114,111.918847066309,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh5_3_3,SSNN,0.02,TRUE,0,0,1.85068681836128,1.89795923233032,1.92636170983315,2.25847433166976,5.22417426394983,7.27662148756303,8.48426701413206,46.8615406785344,92.9708383109871,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh1,SSNN,0.05,TRUE,0,0,1.87369593977928,1.90012109279633,1.94386786222458,4.66717063315849,13.8280710469152,20.5520243867092,35.9711669942597,326.687033480918,733.075244192344,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_sh1,SSNN,0.05,TRUE,0,0,1.87930485606194,1.90903782844543,1.93767842650414,5.35174488012639,15.6543745748541,23.1794786273807,48.0733416290588,402.785348366575,885.154826170482,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_64_64_64_sh1,SSNN,0.05,TRUE,0,0,1.92090559005737,1.89080655574799,1.92999237775803,5.22729507364901,17.3707051107581,27.0115712837642,48.619500459459,587.499402762083,1480.50681054786,1e-04,1000,0.4,5,1e-06,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,sc64_64_64_sh5_3,SSNN,0.05,TRUE,0,0,1.86267498135567,1.87738811969757,1.91957050561905,3.07179512025869,7.08153097945403,9.65267235613008,17.1042146069234,95.7328799044628,180.453482174743,1e-04,1000,0.4,5,1e-06,20,TRUE
