model,distr,n,p,df,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,test_loss,test_MAE_q0.995,test_MAE_q0.999,test_MAE_q0.9995,test_MSE_q0.995,test_MSE_q0.999,test_MSE_q0.9995,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,1.00E-05,0,1.787795126,1.874847293,1.911941528,2.130218022,5.118682364,7.172461489,8.498307308,47.05452353,92.57705997,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,0.001,0,1.791782081,1.875067353,1.915052027,2.259806934,4.982648256,6.811361757,11.04880074,51.40689928,93.17105457,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,5.00E-05,0,1.788413763,1.875502229,1.911033005,2.19432829,5.237277885,7.272150398,9.622781958,52.73351294,99.87837527,0.001,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,1.00E-05,0,1.802125096,1.87574023,1.913844287,2.899727072,7.494150406,10.54675395,19.84235858,129.9860303,254.9514911,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,10h_10h_10h,tanh,0,TRUE,0.001,0,1.794917852,1.876227558,1.915553421,2.063802349,4.963010764,6.971115615,8.187101618,46.15468689,91.80339446,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,5.00E-04,0,1.798165798,1.87653172,1.912488133,1.890799512,4.916285831,7.086383252,7.379072077,56.01326818,120.7569832,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,0.001,0,1.80158025,1.876800656,1.910464942,1.671938718,4.145112335,5.874233651,5.141115954,31.80616967,65.17371703,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,0,0,1.797440439,1.876903653,1.911944717,2.030194766,5.113449602,7.289732553,8.375557478,58.49654407,123.4474464,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,1.00E-04,0,1.798672408,1.877033055,1.912461966,1.983141269,4.999582064,7.123632844,7.914409501,54.47361168,114.6281997,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
cosnorm2d_sigmoid,student_t,5000,10,4,0.8,FALSE,20h_10h_10h,tanh,0,TRUE,5.00E-06,0,1.798018932,1.877232909,1.912999481,2.052131338,5.180150592,7.387444854,8.679690643,60.60602535,127.6041404,1.00E-04,1000,0.4,5,1.00E-05,20,TRUE
