id,Name,BAFU_ID,Ave,Elevation,Surface_catchment,Mean_elevation_catchment,Glaciation_percent,X,Y,longitude95,latitude95,longitude03,latitude03
1,Allenbach-Adelboden,2232,1.2071486420843502,1297,28.8,1863,0.0,608710,148300,7.552073578274773,46.48596290792878,7.552069369715248,46.4859627927161
2,Grosstalbach-Isenthal,2276,1.79524619596694,767,43.9,1819,6.7,685500,196050,8.560952261877334,46.91005645140173,8.560960609382299,46.91005336952331
3,"Alpbach-Erstfeld, Bodenberg",2299,1.58426325488338,1022,20.7,2205,19.7,688560,185120,8.598992271447155,46.81134782679443,8.599000322497833,46.81134399699327
4,Simme-Oberried / Lenk,2219,2.1076477809671,1096,34.8,2347,22.6,602630,141660,7.472855224367681,46.42628288028432,7.4728499835273885,46.42628294231996
5,Murg-Wängi,2126,1.83534354762281,466,80.2,652,0.0,714105,261720,8.95299311455239,47.49633032913307,8.953004248830748,47.49632752400507
6,"Gürbe-Belp, Mülimatt",2159,2.6255765259054304,522,116.0,846,0.0,604810,192680,7.501740988945574,46.88522096544264,7.501741384292435,46.8852205461477
7,"Allaine-Boncourt, Frontière",2485,3.2862669939577,366,212.0,562,0.0,567830,261200,7.011659765462305,47.50076099096173,7.011662343274153,47.50076649539948
8,"Birse-Moutier, La Charrue",2122,3.2555305864984603,519,186.0,921,0.0,595740,237010,7.382317515050998,47.28396838339226,7.382322955161369,47.28397181424351
9,Alp-Einsiedeln,2609,2.25409271935283,840,46.7,1157,0.0,698640,223020,8.739273549411738,47.15079892004677,8.739283729425962,47.150797653085725
10,"Murg-Murgenthal, Walliswil",2471,3.4170498802190297,419,183.0,653,0.0,629340,233555,7.82621681540935,47.252257417066986,7.826222974146244,47.25225974443874
11,"Dünnern-Olten, Hammermühle",2434,3.46027027720739,400,234.0,711,0.0,634330,244480,7.892969341145731,47.35027996294761,7.892976572664851,47.35028181500903
12,Sorne-Delémont,2479,4.29514330937714,406,214.0,779,0.0,593520,246290,7.352837663799485,47.36741794321698,7.352842788595461,47.367422239846775
13,Suze-Sonceboz,2307,4.26758547886063,642,127.0,1036,0.0,579810,227350,7.17218994623419,47.19678397381498,7.1721931566145125,47.19678922587807
14,Ergolz-Liestal,2202,3.76183148597924,305,261.0,588,0.0,622270,259750,7.734121115567243,47.48813625757894,7.734128507651514,47.48814036380298
15,"Necker-Mogelsberg, Aachsäge",2374,3.2722723598435497,606,88.1,956,0.0,727110,247290,9.121433980796468,47.36418923833562,9.121443533268598,47.36418629080613
16,Sitter-Appenzell,2112,3.5362492282915,769,74.4,1256,0.1,749040,244220,9.41062999667778,47.33198983537604,9.410637997209744,47.33198635221524
17,Murg-Frauenfeld,2386,4.05972821368948,390,213.0,597,0.0,709540,269660,8.894376993267691,47.568505282055646,8.894389049242575,47.56850186000818
